id,text,avg_time,correct_percent,difficulty
1,What is 2+2?,30,95,easy
2,What is the capital of France?,20,98,easy
3,Define a variable in programming,25,92,easy
4,What does HTTP stand for?,35,88,easy
5,Name three primary colors,15,96,easy
6,What is photosynthesis?,50,85,easy
7,How many continents are there?,18,94,easy
8,What is the chemical symbol for gold?,22,90,easy
9,Explain what a database is,65,72,medium
10,What is machine learning?,90,65,medium
11,Describe the water cycle,70,78,medium
12,What is recursion in programming?,85,60,medium
13,Explain the concept of inheritance in OOP,95,58,medium
14,What is an algorithm?,75,68,medium
15,Describe the greenhouse effect,80,62,medium
16,What are microservices?,100,55,medium
17,Derive the quadratic formula,240,30,hard
18,Explain the theory of evolution,200,35,hard
19,What is quantum entanglement?,180,25,hard
20,Implement a binary search tree,300,20,hard
21,Derive Newton's second law of motion,220,28,hard
22,Explain the concept of entropy in thermodynamics,250,22,hard
23,What is the Fourier transform?,280,18,hard
24,Discuss the implications of P vs NP problem,320,15,hard
25,Explain deep neural networks architecture,300,19,hard
26,What is blockchain technology?,110,52,medium
27,How does encryption work?,120,50,medium
28,Explain cloud computing benefits,85,65,medium
29,What is a REST API?,95,60,medium
30,Describe the MVC pattern,80,68,medium
